StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q27_Browser,Q27_Version,Q27_Operating System,Q27_Resolution,Q1,Q1_DO,Q9,Q9_DO,Q2,Q2_DO,Q10,Q10_DO,Q11,Q11_DO,Q12,Q12_DO,Q13,Q13_DO,Q14,Q14_DO,Q15,Q15_DO,Q16,Q16_DO,SurveyWave,Version,FL_3_DO,DefaultQuestionBlock_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Click to write the question text - Browser,Click to write the question text - Version,Click to write the question text - Operating System,Click to write the question text - Resolution,Which part of the organization showed the most severe issues?,Which part of the organization showed the most severe issues? - Display Order,Which application appeared to require the most urgent attention based on its alert status?,Which application appeared to require the most urgent attention based on its alert status? - Display Order,What was the overall condition of the Provider systems?,What was the overall condition of the Provider systems? - Display Order,Which team or role would likely be most concerned with the issues displayed in the dashboard?,Which team or role would likely be most concerned with the issues displayed in the dashboard? - Display Order,"Based on the information shown, which incident was still being actively investigated?","Based on the information shown, which incident was still being actively investigated? - Display Order",What trend was visible in the PCS application status over the last hour?,What trend was visible in the PCS application status over the last hour? - Display Order,Which issue seemed to involve a failure in external communication or handshake?,Which issue seemed to involve a failure in external communication or handshake? - Display Order,"Based on the dashboard layout, what kind of alert was most likely automatically generated rather than manually entered?","Based on the dashboard layout, what kind of alert was most likely automatically generated rather than manually entered? - Display Order","Which incident was in the 'Isolation' state, suggesting containment but not resolution?","Which incident was in the 'Isolation' state, suggesting containment but not resolution? - Display Order","If you had to triage one issue first based on the dashboard, which would be the best candidate?","If you had to triage one issue first based on the dashboard, which would be the best candidate? - Display Order",SurveyWave,Version,FL_3 - Block Randomizer - Display Order,Default Question Block - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID27_BROWSER""}","{""ImportId"":""QID27_VERSION""}","{""ImportId"":""QID27_OS""}","{""ImportId"":""QID27_RESOLUTION""}","{""ImportId"":""QID1""}","{""ImportId"":""QID1_DO""}","{""ImportId"":""QID9""}","{""ImportId"":""QID9_DO""}","{""ImportId"":""QID2""}","{""ImportId"":""QID2_DO""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_DO""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_DO""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_DO""}","{""ImportId"":""QID13""}","{""ImportId"":""QID13_DO""}","{""ImportId"":""QID14""}","{""ImportId"":""QID14_DO""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_DO""}","{""ImportId"":""QID16""}","{""ImportId"":""QID16_DO""}","{""ImportId"":""SurveyWave""}","{""ImportId"":""Version""}","{""ImportId"":""FL_3_DO""}","{""ImportId"":""BL_6QEFFqRvk9yRGgm_DO""}"
2025-04-28 16:06:17,2025-04-28 16:10:58,Survey Preview,,100,280,True,2025-04-28 16:10:58,R_38FDv0BJkUSROr7,,,,,47.6674,-122.3701,preview,EN,Chrome,135.0.0.0,Macintosh,1792x1120,10,10|11|12|    Provider,13,PCS|13|14|15,8,10|8|    All Healthy|9,"    Marketing","    Marketing|4|6|5",4,"    Firewall issue (USC)|4|5|6","    Stable with no warnings","    Stable with no warnings|4|5|6",6,5|6|4|    PCS Synthetic Coverage,5,"    Access to Care Alerts|6|5|4",5,6|4|    PCS Web Failure|5,TruCare Authorization issue,6|TruCare Authorization issue|5|4,,2,FL_22,QID21|Q2|Q27|Q11|Q9|QID20|Q14|QID24|QID26|QID25|QID19|QID18|Q15|Q13|Q1|Q16|Q12|QID22|Q10|QID17
2025-04-30 20:15:34,2025-04-30 20:16:25,Survey Preview,,100,51,True,2025-04-30 20:16:26,R_78LKsTb8ihQUTfP,,,,,47.6859,-122.2994,preview,EN,Chrome,135.0.0.0,Windows NT 10.0,1920x1080,,"    Contact Center|    Provider|    Pharmacy|    Client",,PCS|    TruCare|    ImageOne|    SIE Member Web,,"    All Healthy|    Mostly Degraded|    Mixed status|    Offline",,"    Finance|    Marketing|    HR|    Help Desk / Support",,"    Firewall issue (USC)|    MHK Slowness (USG)|    PCS Web Alert|    Eligibility Socket Error",,"    Stable with no warnings|    Increasing degradation|    Fluctuating warnings|    Fully recovered",,"    Eligibility Firewall Timeout|TruCare Authorization issue|    MHK Performance Lag|    PCS Synthetic Coverage",,"    Access to Care Alerts|    Active Managed Incidents|    Troubleshooting line assignments|    System grid color",,"    PCS Web Failure|    MHK Outage|    Eligibility Failure|    Firewall Degradation",,TruCare Authorization issue|    Firewall reboot|    PCS Synthetic HTML error|    ImageOne socket exceptions,,4,FL_26,Q12|Q14|Q2|Q27|Q13|Q1|Q11|Q16|Q9|Q15|Q10
2025-04-30 20:16:35,2025-04-30 20:20:00,Survey Preview,,100,205,True,2025-04-30 20:20:00,R_7Fz48zUdpRJbD9L,,,,,47.6859,-122.2994,preview,EN,Chrome,135.0.0.0,Windows NT 10.0,1920x1080,,"    Provider|    Pharmacy|    Client|    Contact Center",,PCS|    TruCare|    ImageOne|    SIE Member Web,,"    Offline|    All Healthy|    Mostly Degraded|    Mixed status",,"    HR|    Finance|    Help Desk / Support|    Marketing",,"    Firewall issue (USC)|    MHK Slowness (USG)|    PCS Web Alert|    Eligibility Socket Error",,"    Stable with no warnings|    Increasing degradation|    Fluctuating warnings|    Fully recovered",,"    PCS Synthetic Coverage|    MHK Performance Lag|TruCare Authorization issue|    Eligibility Firewall Timeout",,"    Troubleshooting line assignments|    Active Managed Incidents|    Access to Care Alerts|    System grid color",,"    MHK Outage|    PCS Web Failure|    Firewall Degradation|    Eligibility Failure",,"    PCS Synthetic HTML error|    ImageOne socket exceptions|TruCare Authorization issue|    Firewall reboot",,3,FL_25,Q2|Q11|Q27|Q10|Q12|Q1|Q16|Q13|Q9|Q14|Q15
2025-04-30 20:20:13,2025-04-30 20:21:25,Survey Preview,,100,71,True,2025-04-30 20:21:26,R_7zOKXhhZJRcTXEt,,,,,47.6859,-122.2994,preview,EN,Chrome,135.0.0.0,Windows NT 10.0,1920x1080,,"    Contact Center|    Provider|    Pharmacy|    Client",,PCS|    TruCare|    ImageOne|    SIE Member Web,,"    Offline|    All Healthy|    Mixed status|    Mostly Degraded",,"    Help Desk / Support|    HR|    Finance|    Marketing",,"    Firewall issue (USC)|    MHK Slowness (USG)|    PCS Web Alert|    Eligibility Socket Error",,"    Stable with no warnings|    Increasing degradation|    Fluctuating warnings|    Fully recovered",,TruCare Authorization issue|    Eligibility Firewall Timeout|    MHK Performance Lag|    PCS Synthetic Coverage,,"    System grid color|    Troubleshooting line assignments|    Access to Care Alerts|    Active Managed Incidents",,"    PCS Web Failure|    Eligibility Failure|    Firewall Degradation|    MHK Outage",,"    Firewall reboot|TruCare Authorization issue|    ImageOne socket exceptions|    PCS Synthetic HTML error",,StatusQuo,FL_21,Q1|Q2|Q9|Q10|Q27|Q11|Q14|Q13|Q15|Q12|Q16
2025-05-01 00:12:21,2025-05-01 00:26:37,IP Address,31.57.253.41,100,855,True,2025-05-01 00:26:37,R_7S9w2MrNIfU6KfH,,,,,40.7126,-74.0066,anonymous,EN,Chrome,109.0.0.0,Windows NT 10.0,1920x1080,"    Provider","    Pharmacy|    Client|    Provider|    Contact Center","    TruCare",PCS|    TruCare|    ImageOne|    SIE Member Web,"    Mixed status","    Mostly Degraded|    All Healthy|    Mixed status|    Offline","    Help Desk / Support","    Help Desk / Support|    Finance|    HR|    Marketing","    Firewall issue (USC)","    Firewall issue (USC)|    MHK Slowness (USG)|    PCS Web Alert|    Eligibility Socket Error","    Increasing degradation","    Stable with no warnings|    Increasing degradation|    Fluctuating warnings|    Fully recovered",TruCare Authorization issue,"    PCS Synthetic Coverage|    Eligibility Firewall Timeout|TruCare Authorization issue|    MHK Performance Lag","    Active Managed Incidents","    Troubleshooting line assignments|    System grid color|    Active Managed Incidents|    Access to Care Alerts","    Firewall Degradation","    PCS Web Failure|    Firewall Degradation|    MHK Outage|    Eligibility Failure",TruCare Authorization issue,TruCare Authorization issue|    ImageOne socket exceptions|    PCS Synthetic HTML error|    Firewall reboot,,2,FL_22,Q15|Q12|Q16|Q27|Q9|Q13|Q14|Q2|Q11|Q1|Q10
2025-05-01 00:39:24,2025-05-01 00:44:09,IP Address,63.125.90.29,100,285,True,2025-05-01 00:44:10,R_7Q02ZD5EIzi8GUo,,,,,40.0223,-79.0716,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1366x768,"    Pharmacy","    Client|    Contact Center|    Provider|    Pharmacy","    ImageOne",PCS|    TruCare|    ImageOne|    SIE Member Web,"    All Healthy","    All Healthy|    Mostly Degraded|    Offline|    Mixed status","    Help Desk / Support","    HR|    Marketing|    Help Desk / Support|    Finance","    PCS Web Alert","    Firewall issue (USC)|    MHK Slowness (USG)|    PCS Web Alert|    Eligibility Socket Error","    Stable with no warnings","    Stable with no warnings|    Increasing degradation|    Fluctuating warnings|    Fully recovered","    MHK Performance Lag","    MHK Performance Lag|TruCare Authorization issue|    PCS Synthetic Coverage|    Eligibility Firewall Timeout","    Access to Care Alerts","    Access to Care Alerts|    Troubleshooting line assignments|    System grid color|    Active Managed Incidents","    PCS Web Failure","    Eligibility Failure|    PCS Web Failure|    MHK Outage|    Firewall Degradation","    PCS Synthetic HTML error","    ImageOne socket exceptions|TruCare Authorization issue|    PCS Synthetic HTML error|    Firewall reboot",,2,FL_22,Q13|Q1|Q2|Q15|Q16|Q11|Q10|Q27|Q14|Q12|Q9
2025-05-01 00:50:53,2025-05-01 00:53:10,IP Address,104.51.86.75,100,137,True,2025-05-01 00:53:11,R_5NOIJPxSmrkDriP,,,,,29.6968,-95.5446,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1366x768,"    Provider","    Pharmacy|    Contact Center|    Provider|    Client","    SIE Member Web",PCS|    TruCare|    ImageOne|    SIE Member Web,"    All Healthy","    Mixed status|    Offline|    All Healthy|    Mostly Degraded","    Help Desk / Support","    Help Desk / Support|    Finance|    Marketing|    HR","    Firewall issue (USC)","    Firewall issue (USC)|    MHK Slowness (USG)|    PCS Web Alert|    Eligibility Socket Error","    Fully recovered","    Stable with no warnings|    Increasing degradation|    Fluctuating warnings|    Fully recovered","    Eligibility Firewall Timeout","    Eligibility Firewall Timeout|    PCS Synthetic Coverage|    MHK Performance Lag|TruCare Authorization issue","    Troubleshooting line assignments","    System grid color|    Troubleshooting line assignments|    Active Managed Incidents|    Access to Care Alerts","    MHK Outage","    Eligibility Failure|    MHK Outage|    Firewall Degradation|    PCS Web Failure",TruCare Authorization issue,"    PCS Synthetic HTML error|    Firewall reboot|    ImageOne socket exceptions|TruCare Authorization issue",,3,FL_25,Q27|Q15|Q16|Q12|Q9|Q2|Q11|Q13|Q10|Q14|Q1
2025-05-01 00:48:45,2025-05-01 00:55:47,IP Address,76.38.93.111,100,421,True,2025-05-01 00:55:47,R_5ztKNwllNph0qMo,,,,,34.9541,-78.7395,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1536x864,"    Contact Center","    Provider|    Contact Center|    Pharmacy|    Client","    ImageOne",PCS|    TruCare|    ImageOne|    SIE Member Web,"    Mostly Degraded","    All Healthy|    Mixed status|    Mostly Degraded|    Offline","    Finance","    Help Desk / Support|    Finance|    HR|    Marketing","    Firewall issue (USC)","    Firewall issue (USC)|    MHK Slowness (USG)|    PCS Web Alert|    Eligibility Socket Error","    Increasing degradation","    Stable with no warnings|    Increasing degradation|    Fluctuating warnings|    Fully recovered","    Eligibility Firewall Timeout",TruCare Authorization issue|    MHK Performance Lag|    PCS Synthetic Coverage|    Eligibility Firewall Timeout,"    System grid color","    Access to Care Alerts|    System grid color|    Active Managed Incidents|    Troubleshooting line assignments","    Firewall Degradation","    Firewall Degradation|    Eligibility Failure|    PCS Web Failure|    MHK Outage","    PCS Synthetic HTML error",TruCare Authorization issue|    PCS Synthetic HTML error|    Firewall reboot|    ImageOne socket exceptions,,4,FL_26,Q11|Q15|Q1|Q27|Q13|Q10|Q12|Q16|Q14|Q9|Q2
