Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Click to write the question text - Browser,Click to write the question text - Version,Click to write the question text - Operating System,Click to write the question text - Resolution,Which part of the organization showed the most severe issues?,Which application appeared to require the most urgent attention based on its alert status?,What was the overall condition of the Provider systems?,Which team or role would likely be most concerned with the issues displayed in the dashboard?,"Based on the information shown, which incident was still being actively investigated?",What trend was visible in the PCS application status over the last hour?,Which issue seemed to involve a failure in external communication or handshake?,"Based on the dashboard layout, what kind of alert was most likely automatically generated rather than manually entered?","Which incident was in the 'Isolation' state, suggesting containment but not resolution?","If you had to triage one issue first based on the dashboard, which would be the best candidate?",Version
5/1/2025 0:12,5/1/2025 0:26,IP Address,31.57.253.41,100,855,TRUE,5/1/2025 0:26,R_7S9w2MrNIfU6KfH,,,,,40.7126,-74.0066,anonymous,EN,Chrome,109.0.0.0,Windows NT 10.0,1920x1080,    Provider,    TruCare,    Mixed status,    Help Desk / Support,    Firewall issue (USC),    Increasing degradation,    TruCare Authorization issue,    Active Managed Incidents,    Firewall Degradation,    TruCare handshake failure,2
5/1/2025 0:39,5/1/2025 0:44,IP Address,63.125.90.29,100,285,TRUE,5/1/2025 0:44,R_7Q02ZD5EIzi8GUo,,,,,40.0223,-79.0716,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1366x768,    Pharmacy,    ImageOne,    All Healthy,    Help Desk / Support,    PCS Web Alert,    Stable with no warnings,    MHK Performance Lag,    Access to Care Alerts,    PCS Web Failure,    PCS Synthetic HTML error,2
5/1/2025 0:50,5/1/2025 0:53,IP Address,104.51.86.75,100,137,TRUE,5/1/2025 0:53,R_5NOIJPxSmrkDriP,,,,,29.6968,-95.5446,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1366x768,    Provider,    SIE Member Web,    All Healthy,    Help Desk / Support,    Firewall issue (USC),    Fully recovered,    Eligibility Firewall Timeout,    Troubleshooting line assignments,    MHK Outage,    TruCare handshake failure,3
5/1/2025 0:48,5/1/2025 0:55,IP Address,76.38.93.111,100,421,TRUE,5/1/2025 0:55,R_5ztKNwllNph0qMo,,,,,34.9541,-78.7395,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1536x864,    Contact Center,    ImageOne,    Mostly Degraded,    Finance,    Firewall issue (USC),    Increasing degradation,    Eligibility Firewall Timeout,    System grid color,    Firewall Degradation,    PCS Synthetic HTML error,4
5/1/2025 0:58,5/1/2025 1:01,IP Address,31.57.253.74,100,152,TRUE,5/1/2025 1:01,R_7ZmITHSHxY6774l,,,,,40.7126,-74.0066,anonymous,EN,Chrome,109.0.0.0,Windows NT 10.0,1366x768,    Contact Center,    TruCare,    Mixed status,    Help Desk / Support,    Firewall issue (USC),    Fluctuating warnings,    TruCare Authorization issue,    System grid color,    PCS Web Failure,    PCS Synthetic HTML error,StatusQuo
5/1/2025 1:01,5/1/2025 1:03,IP Address,31.57.253.74,100,128,TRUE,5/1/2025 1:03,R_6jWo0pi9NJr8S19,,,,,40.7126,-74.0066,anonymous,EN,Chrome,109.0.0.0,Windows NT 10.0,1366x768,    Contact Center,    TruCare,    Mixed status,    Help Desk / Support,    MHK Slowness (USG),    Increasing degradation,    MHK Performance Lag,    Troubleshooting line assignments,    PCS Web Failure,    Firewall reboot,2
5/1/2025 1:04,5/1/2025 1:11,IP Address,75.40.142.200,100,464,TRUE,5/1/2025 1:11,R_3CB28C08ankQMI7,,,,,34.2849,-85.2253,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,600x1308,    Client,    TruCare,    Mixed status,    Help Desk / Support,    MHK Slowness (USG),    Increasing degradation,    TruCare Authorization issue,    Access to Care Alerts,    Firewall Degradation,    TruCare handshake failure,StatusQuo
5/1/2025 1:12,5/1/2025 1:15,IP Address,71.174.216.168,100,184,TRUE,5/1/2025 1:15,R_1eQASof9x6ua0J8,,,,,42.3182,-71.6429,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1366x768,    Client,    TruCare,    Mixed status,    Finance,    Eligibility Socket Error,    Fully recovered,    PCS Synthetic Coverage,    System grid color,    Eligibility Failure,    ImageOne socket exceptions,4
5/1/2025 1:59,5/1/2025 2:01,IP Address,76.36.117.155,100,119,TRUE,5/1/2025 2:01,R_10SFdgvtVNjPBas,,,,,33.6988,-78.916,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1920x1080,    Client,    ImageOne,    Mixed status,    Marketing,    PCS Web Alert,    Fluctuating warnings,    TruCare Authorization issue,    Active Managed Incidents,    MHK Outage,    Firewall reboot,StatusQuo
5/1/2025 1:39,5/1/2025 2:25,IP Address,204.235.242.178,100,2764,TRUE,5/1/2025 2:25,R_7OJwDyICifxeoJb,,,,,37.751,-97.822,anonymous,EN,Chrome,134.0.0.0,Windows NT 10.0,1366x768,    Provider,    TruCare,    All Healthy,    HR,    Firewall issue (USC),    Fully recovered,    MHK Performance Lag,    Troubleshooting line assignments,    PCS Web Failure,    PCS Synthetic HTML error,2
5/1/2025 2:43,5/1/2025 2:46,IP Address,24.250.132.153,100,192,TRUE,5/1/2025 2:46,R_6sXQZKyxM626pLN,,,,,29.6825,-82.3606,anonymous,EN,Edge,135.0.0.0,Windows NT 10.0,1536x864,    Contact Center,    ImageOne,    Mixed status,    Help Desk / Support,    Eligibility Socket Error,    Fully recovered,    PCS Synthetic Coverage,    Troubleshooting line assignments,    PCS Web Failure,    PCS Synthetic HTML error,2
5/1/2025 2:37,5/1/2025 2:46,IP Address,204.235.242.142,100,556,TRUE,5/1/2025 2:46,R_6fGKf98cozpZjfL,,,,,37.751,-97.822,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1366x768,    Contact Center,    ImageOne,    Offline,    Finance,    PCS Web Alert,    Increasing degradation,    Eligibility Firewall Timeout,    Troubleshooting line assignments,    PCS Web Failure,    TruCare handshake failure,4
5/1/2025 2:46,5/1/2025 2:48,IP Address,204.235.242.142,100,111,TRUE,5/1/2025 2:48,R_7nibMvP35OFnsMu,,,,,37.751,-97.822,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1366x768,    Provider,    ImageOne,    Mostly Degraded,    Finance,    MHK Slowness (USG),    Increasing degradation,    TruCare Authorization issue,    Active Managed Incidents,    MHK Outage,    TruCare handshake failure,StatusQuo
5/1/2025 3:07,5/1/2025 3:10,IP Address,204.235.242.142,100,149,TRUE,5/1/2025 3:10,R_10Madp2NcCT8495,,,,,37.751,-97.822,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1366x768,    Client,    SIE Member Web,    All Healthy,    HR,    PCS Web Alert,    Fluctuating warnings,    TruCare Authorization issue,    Active Managed Incidents,    Eligibility Failure,    TruCare handshake failure,3
5/1/2025 3:31,5/1/2025 3:34,IP Address,67.6.237.70,100,194,TRUE,5/1/2025 3:34,R_1yLQqWXUwZbQR1f,,,,,38.2859,-91.7204,anonymous,EN,Chrome,109.0.0.0,Windows NT 10.0,1366x768,    Provider,    TruCare,    Mixed status,    Finance,    Eligibility Socket Error,    Fluctuating warnings,    TruCare Authorization issue,    Active Managed Incidents,    Eligibility Failure,    PCS Synthetic HTML error,StatusQuo
