Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Click to write the question text - Browser,Click to write the question text - Version,Click to write the question text - Operating System,Click to write the question text - Resolution,Which part of the organization showed the most severe issues?,Which part of the organization showed the most severe issues? - Display Order,Which application appeared to require the most urgent attention based on its alert status?,Which application appeared to require the most urgent attention based on its alert status? - Display Order,What was the overall condition of the Provider systems?,What was the overall condition of the Provider systems? - Display Order,Which team or role would likely be most concerned with the issues displayed in the dashboard?,Which team or role would likely be most concerned with the issues displayed in the dashboard? - Display Order,"Based on the information shown, which incident was still being actively investigated?","Based on the information shown, which incident was still being actively investigated? - Display Order",What trend was visible in the PCS application status over the last hour?,What trend was visible in the PCS application status over the last hour? - Display Order,Which issue seemed to involve a failure in external communication or handshake?,Which issue seemed to involve a failure in external communication or handshake? - Display Order,"Based on the dashboard layout, what kind of alert was most likely automatically generated rather than manually entered?","Based on the dashboard layout, what kind of alert was most likely automatically generated rather than manually entered? - Display Order","Which incident was in the 'Isolation' state, suggesting containment but not resolution?","Which incident was in the 'Isolation' state, suggesting containment but not resolution? - Display Order","If you had to triage one issue first based on the dashboard, which would be the best candidate?","If you had to triage one issue first based on the dashboard, which would be the best candidate? - Display Order",SurveyWave,Version,FL_3 - Block Randomizer - Display Order,Default Question Block - Display Order
5/2/2025 16:27,5/2/2025 16:28,IP Address,108.214.246.38,100,101,TRUE,5/2/2025 16:28,R_3BRsCohTYvSfKDL,,,,,28.5981,-81.3515,anonymous,EN,Chrome,136.0.0.0,Windows NT 10.0,1280x720,    Provider,    Provider|    Pharmacy|    Contact Center|    Client,PCS,    SIE Member Web|    TruCare|PCS|    ImageOne,    Offline,    Offline|    Mostly Degraded|    Mixed status|    All Healthy,    Help Desk / Support,    Finance|    Marketing|    Help Desk / Support|    HR,    Firewall issue (USC),    Firewall issue (USC)|    MHK Slowness (USG)|    PCS Web Alert|    Eligibility Socket Error,    Increasing degradation,    Fully recovered|    Increasing degradation|    Fluctuating warnings|    Stable with no warnings,    PCS Synthetic Coverage,    PCS Synthetic Coverage|TruCare Authorization issue|    Eligibility Firewall Timeout|    MHK Performance Lag,    System grid color,    System grid color|    Troubleshooting line assignments|    Access to Care Alerts|    Active Managed Incidents,    PCS Web Failure,    Eligibility Failure|    PCS Web Failure|    Firewall Degradation|    MHK Outage,    Firewall reboot,    Firewall reboot|TruCare Authorization issue|    ImageOne socket exceptions|    PCS Synthetic HTML error,2,ImprovedChartjunk,FL_25,Q11|Q1|Q14|Q12|Q16|Q15|Q27|Q13|Q10|Q9|Q2
5/2/2025 18:01,5/2/2025 18:03,IP Address,72.177.111.150,100,67,TRUE,5/2/2025 18:03,R_6bpJfYL6h4KVcHv,,,,,30.37,-97.9437,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1536x864,    Pharmacy,    Provider|    Client|    Contact Center|    Pharmacy,    TruCare,    ImageOne|    SIE Member Web|    TruCare|PCS,    Mixed status,    Offline|    Mixed status|    Mostly Degraded|    All Healthy,    Finance,    HR|    Marketing|    Help Desk / Support|    Finance,    PCS Web Alert,    Firewall issue (USC)|    MHK Slowness (USG)|    PCS Web Alert|    Eligibility Socket Error,    Stable with no warnings,    Increasing degradation|    Fully recovered|    Fluctuating warnings|    Stable with no warnings,    MHK Performance Lag,TruCare Authorization issue|    Eligibility Firewall Timeout|    PCS Synthetic Coverage|    MHK Performance Lag,    System grid color,    Troubleshooting line assignments|    Active Managed Incidents|    System grid color|    Access to Care Alerts,    Eligibility Failure,    MHK Outage|    PCS Web Failure|    Eligibility Failure|    Firewall Degradation,    ImageOne socket exceptions,    PCS Synthetic HTML error|    Firewall reboot|    ImageOne socket exceptions|TruCare Authorization issue,2,ImprovedChartjunk,FL_25,Q2|Q9|Q27|Q15|Q1|Q10|Q16|Q13|Q12|Q14|Q11
5/2/2025 18:05,5/2/2025 18:06,IP Address,47.182.124.91,100,101,TRUE,5/2/2025 18:06,R_5rNhfo2lbXrzPsn,,,,,29.5183,-95.0977,anonymous,EN,Chrome,103.0.0.0,CrOS x86_64 14816.131.0,1280x720,    Provider,    Provider|    Contact Center|    Pharmacy|    Client,    TruCare,    TruCare|    ImageOne|    SIE Member Web|PCS,    Mostly Degraded,    Mostly Degraded|    Mixed status|    All Healthy|    Offline,    Help Desk / Support,    Help Desk / Support|    Finance|    Marketing|    HR,    Firewall issue (USC),    Firewall issue (USC)|    MHK Slowness (USG)|    PCS Web Alert|    Eligibility Socket Error,    Fully recovered,    Fully recovered|    Fluctuating warnings|    Stable with no warnings|    Increasing degradation,    MHK Performance Lag,    MHK Performance Lag|    PCS Synthetic Coverage|    Eligibility Firewall Timeout|TruCare Authorization issue,    Active Managed Incidents,    Active Managed Incidents|    System grid color|    Access to Care Alerts|    Troubleshooting line assignments,    PCS Web Failure,    PCS Web Failure|    Eligibility Failure|    Firewall Degradation|    MHK Outage,TruCare Authorization issue,TruCare Authorization issue|    PCS Synthetic HTML error|    ImageOne socket exceptions|    Firewall reboot,2,ImprovedBoth,FL_26,Q13|Q14|Q2|Q9|Q16|Q1|Q15|Q10|Q27|Q12|Q11
5/2/2025 18:08,5/2/2025 18:11,IP Address,184.19.10.88,100,204,TRUE,5/2/2025 18:11,R_5BleWBTixj3GMau,,,,,41.0491,-85.1514,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1920x1080,    Contact Center,    Provider|    Client|    Contact Center|    Pharmacy,    TruCare,PCS|    SIE Member Web|    ImageOne|    TruCare,    Mixed status,    Offline|    Mostly Degraded|    All Healthy|    Mixed status,    Help Desk / Support,    Help Desk / Support|    Finance|    HR|    Marketing,    Firewall issue (USC),    Firewall issue (USC)|    MHK Slowness (USG)|    PCS Web Alert|    Eligibility Socket Error,    Fluctuating warnings,    Fluctuating warnings|    Stable with no warnings|    Increasing degradation|    Fully recovered,TruCare Authorization issue,    Eligibility Firewall Timeout|    MHK Performance Lag|    PCS Synthetic Coverage|TruCare Authorization issue,    Troubleshooting line assignments,    Active Managed Incidents|    System grid color|    Access to Care Alerts|    Troubleshooting line assignments,    Firewall Degradation,    MHK Outage|    Firewall Degradation|    Eligibility Failure|    PCS Web Failure,    Firewall reboot,    ImageOne socket exceptions|    Firewall reboot|TruCare Authorization issue|    PCS Synthetic HTML error,2,StatusQuo,FL_21,Q27|Q11|Q15|Q16|Q9|Q13|Q14|Q1|Q2|Q10|Q12
5/2/2025 20:28,5/2/2025 20:31,IP Address,108.46.171.217,100,167,TRUE,5/2/2025 20:31,R_79tcvWcDVAdtUeq,,,,,41.1684,-73.8498,anonymous,EN,Firefox,137,Windows NT 10.0,1280x720,    Contact Center,    Pharmacy|    Provider|    Contact Center|    Client,    TruCare,    SIE Member Web|    ImageOne|    TruCare|PCS,    Mixed status,    Mostly Degraded|    All Healthy|    Mixed status|    Offline,    Help Desk / Support,    Help Desk / Support|    Finance|    HR|    Marketing,    Eligibility Socket Error,    Firewall issue (USC)|    MHK Slowness (USG)|    PCS Web Alert|    Eligibility Socket Error,    Increasing degradation,    Stable with no warnings|    Increasing degradation|    Fully recovered|    Fluctuating warnings,TruCare Authorization issue,TruCare Authorization issue|    MHK Performance Lag|    PCS Synthetic Coverage|    Eligibility Firewall Timeout,    System grid color,    Access to Care Alerts|    Troubleshooting line assignments|    Active Managed Incidents|    System grid color,    Eligibility Failure,    PCS Web Failure|    Firewall Degradation|    Eligibility Failure|    MHK Outage,TruCare Authorization issue,    PCS Synthetic HTML error|    ImageOne socket exceptions|TruCare Authorization issue|    Firewall reboot,2,ImprovedHierarchy,FL_22,Q15|Q1|Q16|Q10|Q2|Q9|Q14|Q12|Q27|Q13|Q11
5/3/2025 3:19,5/3/2025 3:21,IP Address,69.122.66.157,100,146,TRUE,5/3/2025 3:21,R_3iIlmZgXTX5N2uT,,,,,40.8565,-74.1231,anonymous,EN,Edge,136.0.0.0,Windows NT 10.0,1360x768,    Client,    Contact Center|    Client|    Pharmacy|    Provider,PCS,    SIE Member Web|PCS|    ImageOne|    TruCare,    Mixed status,    All Healthy|    Offline|    Mostly Degraded|    Mixed status,    Help Desk / Support,    Marketing|    Help Desk / Support|    Finance|    HR,    MHK Slowness (USG),    Firewall issue (USC)|    MHK Slowness (USG)|    PCS Web Alert|    Eligibility Socket Error,    Stable with no warnings,    Increasing degradation|    Fluctuating warnings|    Fully recovered|    Stable with no warnings,    MHK Performance Lag,    MHK Performance Lag|TruCare Authorization issue|    Eligibility Firewall Timeout|    PCS Synthetic Coverage,    System grid color,    Access to Care Alerts|    System grid color|    Troubleshooting line assignments|    Active Managed Incidents,    MHK Outage,    MHK Outage|    PCS Web Failure|    Firewall Degradation|    Eligibility Failure,    PCS Synthetic HTML error,    Firewall reboot|TruCare Authorization issue|    ImageOne socket exceptions|    PCS Synthetic HTML error,2,StatusQuo,FL_21,Q12|Q15|Q2|Q13|Q10|Q9|Q27|Q14|Q16|Q1|Q11
5/3/2025 6:29,5/3/2025 6:33,IP Address,97.170.59.114,100,210,TRUE,5/3/2025 6:33,R_78K7U2a8zIJstwJ,,,,,34.1441,-117.5805,anonymous,EN,Chrome,109.0.0.0,Windows NT 10.0,1600x900,    Contact Center,    Contact Center|    Provider|    Client|    Pharmacy,PCS,    TruCare|PCS|    SIE Member Web|    ImageOne,    Mixed status,    Mostly Degraded|    Offline|    All Healthy|    Mixed status,    Help Desk / Support,    HR|    Marketing|    Finance|    Help Desk / Support,    PCS Web Alert,    Firewall issue (USC)|    MHK Slowness (USG)|    PCS Web Alert|    Eligibility Socket Error,    Fluctuating warnings,    Fluctuating warnings|    Increasing degradation|    Fully recovered|    Stable with no warnings,TruCare Authorization issue,TruCare Authorization issue|    PCS Synthetic Coverage|    Eligibility Firewall Timeout|    MHK Performance Lag,    System grid color,    Active Managed Incidents|    System grid color|    Access to Care Alerts|    Troubleshooting line assignments,    Firewall Degradation,    Eligibility Failure|    PCS Web Failure|    MHK Outage|    Firewall Degradation,    Firewall reboot,    PCS Synthetic HTML error|    ImageOne socket exceptions|    Firewall reboot|TruCare Authorization issue,2,ImprovedHierarchy,FL_22,Q11|Q13|Q9|Q10|Q15|Q12|Q27|Q2|Q16|Q1|Q14
5/3/2025 8:39,5/3/2025 8:42,IP Address,74.36.158.41,100,191,TRUE,5/3/2025 8:42,R_3NvSTDIYJvJkvRo,,,,,45.6366,-89.4121,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1600x900,    Provider,    Client|    Pharmacy|    Provider|    Contact Center,    ImageOne,PCS|    TruCare|    SIE Member Web|    ImageOne,    Mostly Degraded,    Offline|    Mixed status|    All Healthy|    Mostly Degraded,    Finance,    Help Desk / Support|    Finance|    HR|    Marketing,    Firewall issue (USC),    Firewall issue (USC)|    MHK Slowness (USG)|    PCS Web Alert|    Eligibility Socket Error,    Fluctuating warnings,    Stable with no warnings|    Fully recovered|    Increasing degradation|    Fluctuating warnings,    Eligibility Firewall Timeout,    PCS Synthetic Coverage|TruCare Authorization issue|    Eligibility Firewall Timeout|    MHK Performance Lag,    System grid color,    System grid color|    Troubleshooting line assignments|    Access to Care Alerts|    Active Managed Incidents,    Eligibility Failure,    MHK Outage|    Firewall Degradation|    Eligibility Failure|    PCS Web Failure,    Firewall reboot,    Firewall reboot|TruCare Authorization issue|    PCS Synthetic HTML error|    ImageOne socket exceptions,2,ImprovedHierarchy,FL_22,Q13|Q2|Q10|Q11|Q12|Q15|Q1|Q14|Q27|Q9|Q16
5/3/2025 9:58,5/3/2025 10:00,IP Address,108.206.32.219,100,105,TRUE,5/3/2025 10:00,R_3SYdNsj747Jcq8F,,,,,34.8512,-86.5779,anonymous,EN,Chrome,136.0.0.0,Windows NT 10.0,1920x1080,    Client,    Contact Center|    Client|    Pharmacy|    Provider,    SIE Member Web,    SIE Member Web|    ImageOne|    TruCare|PCS,    Mixed status,    Mixed status|    Offline|    All Healthy|    Mostly Degraded,    Help Desk / Support,    Marketing|    Help Desk / Support|    Finance|    HR,    PCS Web Alert,    Firewall issue (USC)|    MHK Slowness (USG)|    PCS Web Alert|    Eligibility Socket Error,    Increasing degradation,    Increasing degradation|    Fully recovered|    Fluctuating warnings|    Stable with no warnings,    PCS Synthetic Coverage,    PCS Synthetic Coverage|TruCare Authorization issue|    MHK Performance Lag|    Eligibility Firewall Timeout,    System grid color,    Active Managed Incidents|    System grid color|    Access to Care Alerts|    Troubleshooting line assignments,    PCS Web Failure,    MHK Outage|    PCS Web Failure|    Eligibility Failure|    Firewall Degradation,    ImageOne socket exceptions,TruCare Authorization issue|    ImageOne socket exceptions|    Firewall reboot|    PCS Synthetic HTML error,2,ImprovedChartjunk,FL_25,Q2|Q16|Q12|Q27|Q10|Q9|Q1|Q13|Q14|Q15|Q11
5/3/2025 10:18,5/3/2025 10:20,IP Address,64.107.3.137,100,119,TRUE,5/3/2025 10:20,R_6pPzJknl6od6JML,,,,,41.8095,-87.6522,anonymous,EN,Edge,136.0.0.0,Windows NT 10.0,1920x1080,    Provider,    Contact Center|    Client|    Provider|    Pharmacy,    ImageOne,PCS|    ImageOne|    SIE Member Web|    TruCare,    Mixed status,    Mostly Degraded|    Offline|    All Healthy|    Mixed status,    Help Desk / Support,    Help Desk / Support|    Finance|    Marketing|    HR,    Firewall issue (USC),    Firewall issue (USC)|    MHK Slowness (USG)|    PCS Web Alert|    Eligibility Socket Error,    Stable with no warnings,    Stable with no warnings|    Fluctuating warnings|    Increasing degradation|    Fully recovered,    MHK Performance Lag,    MHK Performance Lag|    Eligibility Firewall Timeout|    PCS Synthetic Coverage|TruCare Authorization issue,    System grid color,    Access to Care Alerts|    System grid color|    Active Managed Incidents|    Troubleshooting line assignments,    PCS Web Failure,    Firewall Degradation|    MHK Outage|    PCS Web Failure|    Eligibility Failure,    ImageOne socket exceptions,TruCare Authorization issue|    PCS Synthetic HTML error|    ImageOne socket exceptions|    Firewall reboot,2,StatusQuo,FL_21,Q13|Q27|Q15|Q10|Q2|Q9|Q16|Q1|Q12|Q14|Q11
