StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,MetaInfo_Browser,MetaInfo_Version,MetaInfo_Operating System,MetaInfo_Resolution,Q1,Q1_DO,Q9,Q10,Q14,Q17,Q18,Q18_DO,Q20,DataDashboardUsage,SmartHomeDashUsage,VisualClarity,InfoOrgClarity,SC0,SurveyWave,Version,FL_3_DO,Gistblock_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Click to write the question text - Browser,Click to write the question text - Version,Click to write the question text - Operating System,Click to write the question text - Resolution,Which device had the worst problem?,Which device had the worst problem? - Display Order,Which direction was the offline ceiling light?,How many items were Warnings (non-critical alerts)?,How many devices were specifically labeled as Offline (not just Off)?,How many devices named “Sink” were shown?,Which two devices were both Off but not alerts?,Which two devices were both Off but not alerts? - Display Order,What type of dashboard did you see?,How often do you use data dashboards in your life?,How often do you use a smart home dashboard in your life?,"How clear was the dashboard’s visual design (e.g., text readability, contrast, spacing)?","How clear was the dashboard's informational organization (grouping, labels, layout)?",Score,SurveyWave,Version,FL_3 - Block Randomizer - Display Order,Gist block - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID75_BROWSER""}","{""ImportId"":""QID75_VERSION""}","{""ImportId"":""QID75_OS""}","{""ImportId"":""QID75_RESOLUTION""}","{""ImportId"":""QID49""}","{""ImportId"":""QID49_DO""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""QID63""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID67_DO""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70""}","{""ImportId"":""QID72""}","{""ImportId"":""QID71""}","{""ImportId"":""QID73""}","{""ImportId"":""SC_026QrkvBa3dwwrc""}","{""ImportId"":""SurveyWave""}","{""ImportId"":""Version""}","{""ImportId"":""FL_3_DO""}","{""ImportId"":""BL_2miQ8sO4XRcUQn4_DO""}"
2025-10-03 16:32:06,2025-10-03 16:33:18,IP Address,70.121.13.59,100,72,True,2025-10-03 16:33:18,R_3BfazZrIHd9RRps,,,,,33.1371,-96.7488,anonymous,EN,1,Chrome,140.0.0.0,Windows NT 10.0,1368x912,Smoke detector,Ceiling E|Smoke detector|Leak detector|Oven light,South,0,3,2,Ceiling N and Ceiling W,Ceiling E and Oven|Ceiling N and Ceiling W|TV and Window|Mirror 1 and Mirror 2,Smart home,Never,Never,Moderately clear,Moderately clear,1,3,NoHierarchyMediumChartjunk,FL_46,Q14|Q9|Q17|Q20|Q10|Q1|MetaInfo|Q18
2025-10-03 16:31:01,2025-10-03 16:33:24,IP Address,72.66.2.12,100,142,True,2025-10-03 16:33:24,R_5nOCDQfcGRVV9Ad,,,,,39.1063,-76.866,anonymous,EN,1,Chrome,140.0.0.0,Macintosh,1440x900,Leak detector,Ceiling E|Oven light|Smoke detector|Leak detector,East,3,1,0,Ceiling E and Oven,Ceiling N and Ceiling W|Ceiling E and Oven|Mirror 1 and Mirror 2|TV and Window,Smart home,Weekly,Weekly,Moderately clear,Moderately clear,5,3,NoHierarchyHighChartjunk,FL_52,MetaInfo|Q9|Q1|Q14|Q18|Q20|Q17|Q10
2025-10-03 16:32:03,2025-10-03 16:33:30,IP Address,75.9.95.148,100,86,True,2025-10-03 16:33:31,R_3BvdPKbS6dO7OsV,,,,,42.9778,-87.891,anonymous,EN,0.8999999761581421,Edge,140.0.0.0,Windows NT 10.0,1920x1080,Leak detector,Leak detector|Smoke detector|Ceiling E|Oven light,West,3,1,1,Mirror 1 and Mirror 2,Ceiling N and Ceiling W|Ceiling E and Oven|TV and Window|Mirror 1 and Mirror 2,Smart home,Never,Never,Not at all clear,Not at all clear,4,3,RoomHierarchyMediumChartjunk,FL_22,Q20|Q9|Q1|Q18|MetaInfo|Q14|Q17|Q10
2025-10-03 16:32:20,2025-10-03 16:34:28,IP Address,73.164.182.131,100,128,True,2025-10-03 16:34:29,R_3KjBe0rtjP0zvIi,,,,,44.9036,-123.0461,anonymous,EN,1,Chrome,130.0.0.0,Windows NT 10.0,1920x1080,Leak detector,Oven light|Smoke detector|Ceiling E|Leak detector,East,1,3,0,Mirror 1 and Mirror 2,Mirror 1 and Mirror 2|Ceiling N and Ceiling W|Ceiling E and Oven|TV and Window,IT infrastructure,Never,Never,Very clear,Very clear,4,3,ImportanceHierarchyLowChartjunk,FL_54,Q18|Q14|MetaInfo|Q20|Q17|Q10|Q9|Q1
2025-10-03 16:32:18,2025-10-03 16:34:49,IP Address,76.38.180.145,100,150,True,2025-10-03 16:34:49,R_6sgpiSjBTSNavMR,,,,,42.1254,-75.9664,anonymous,EN,1,Chrome,140.0.0.0,Android 10,384x832,Smoke detector,Ceiling E|Oven light|Leak detector|Smoke detector,North,2,3,2,Ceiling N and Ceiling W,Mirror 1 and Mirror 2|Ceiling N and Ceiling W|TV and Window|Ceiling E and Oven,Smart home,Daily,Daily,Moderately clear,Moderately clear,1,3,FloorplanHierarchyLowChartjunk,FL_60,Q9|Q1|MetaInfo|Q20|Q17|Q10|Q14|Q18
2025-10-03 16:33:42,2025-10-03 16:34:57,IP Address,107.77.207.141,100,75,True,2025-10-03 16:34:59,R_14XAAkL3wQS1Jzb,,,,,41.972,-87.7596,anonymous,EN,0.800000011920929,Chrome,140.0.7339.207,Android 14,444x985,Ceiling E,Leak detector|Oven light|Ceiling E|Smoke detector,North,3,4,1,Mirror 1 and Mirror 2,TV and Window|Mirror 1 and Mirror 2|Ceiling E and Oven|Ceiling N and Ceiling W,IT infrastructure,Never,Never,Slightly clear,Slightly clear,2,3,RoomHierarchyHighChartjunk,FL_25,Q1|Q10|MetaInfo|Q9|Q17|Q14|Q18|Q20
2025-10-03 16:33:36,2025-10-03 16:35:45,IP Address,71.82.152.198,100,128,True,2025-10-03 16:35:45,R_125rRT17N7RdMmy,,,,,44.833,-91.5125,anonymous,EN,1,Safari,18.7,Macintosh,810x1080,Ceiling E,Leak detector|Oven light|Ceiling E|Smoke detector,North,2,3,2,Mirror 1 and Mirror 2,TV and Window|Mirror 1 and Mirror 2|Ceiling N and Ceiling W|Ceiling E and Oven,Hospital bed display,Never,Never,Very clear,Very clear,1,3,NoHierarchyHighChartjunk,FL_50,Q9|Q10|Q17|Q1|MetaInfo|Q20|Q14|Q18
2025-10-03 16:35:22,2025-10-03 16:36:26,IP Address,107.77.207.141,100,63,True,2025-10-03 16:36:27,R_7n73TXSSGtliu9r,,,,,41.972,-87.7596,anonymous,EN,0.699999988079071,Chrome,140.0.7339.207,Android 14,444x985,Leak detector,Oven light|Leak detector|Smoke detector|Ceiling E,South,1,3,2,Ceiling N and Ceiling W,TV and Window|Mirror 1 and Mirror 2|Ceiling N and Ceiling W|Ceiling E and Oven,IT infrastructure,Monthly,Monthly,Slightly clear,Not at all clear,1,3,FloorplanHierarchyHighChartjunk,FL_64,Q17|MetaInfo|Q14|Q18|Q9|Q10|Q20|Q1
2025-10-03 16:37:25,2025-10-03 16:39:53,IP Address,35.143.146.27,100,147,True,2025-10-03 16:39:53,R_5YbI2SoWcJYs0Mu,,,,,27.8044,-82.2759,anonymous,EN,1,Chrome,140.0.0.0,Windows NT 10.0,1366x768,Leak detector,Ceiling E|Oven light|Leak detector|Smoke detector,East,2,2,3,Ceiling E and Oven,TV and Window|Ceiling E and Oven|Ceiling N and Ceiling W|Mirror 1 and Mirror 2,Smart home,Never,Never,Moderately clear,Slightly clear,4,3,FloorplanHierarchyMediumChartjunk,FL_62,Q14|Q18|Q1|MetaInfo|Q9|Q17|Q10|Q20
2025-10-03 16:39:12,2025-10-03 16:40:11,IP Address,99.154.0.189,100,58,True,2025-10-03 16:40:11,R_3LB5G1183zOgLsn,,,,,29.3831,-98.396,anonymous,EN,1,Chrome,140.0.0.0,Windows NT 10.0,1600x900,Smoke detector,Ceiling E|Smoke detector|Oven light|Leak detector,South,2,2,1,Mirror 1 and Mirror 2,Ceiling E and Oven|TV and Window|Ceiling N and Ceiling W|Mirror 1 and Mirror 2,Smart home,Monthly,Weekly,Slightly clear,Not at all clear,3,3,ImportanceHierarchyMediumChartjunk,FL_56,Q10|Q9|Q1|Q18|MetaInfo|Q17|Q20|Q14
